Count;IncentiveCondition;Age.Group;Gender;Age;Income;Wealth;DigitSymbol;GainOrientation;LossOrientation;MaintenanceOrientation;ch_G01;ch_G02;ch_G03;ch_G04;ch_G05;ch_G06;ch_G07;ch_G08;ch_G09;ch_G10;ch_G11;ch_G12;ch_G13;ch_G14;ch_G15;ch_G16;ch_G17;ch_G18;ch_G19;ch_G20;ch_G21;ch_G22;ch_G23;ch_G24;ch_G25;ch_G26;ch_L01;ch_L02;ch_L03;ch_L04;ch_L05;ch_L06;ch_L07;ch_L08;ch_L09;ch_L10;ch_L11;ch_L12;ch_L13;ch_L14;ch_L15;ch_L16;ch_L17;ch_L18;ch_L19;ch_L20;ch_L21;ch_L22;ch_L23;ch_L24;ch_L25;ch_L26;ch_M01;ch_M02;ch_M03;ch_M04;ch_M05;ch_M06;ch_M07;ch_M08;ch_M09;ch_M10;ch_M11;ch_M12;ch_M13;ch_M14;ch_M15;ch_M16;ch_M17;ch_M18;ch_M19;ch_M20;ch_M21;ch_M22;ch_M23;ch_M24;ch_M25;ch_M26;rt_G01;rt_G02;rt_G03;rt_G04;rt_G05;rt_G06;rt_G07;rt_G08;rt_G09;rt_G10;rt_G11;rt_G12;rt_G13;rt_G14;rt_G15;rt_G16;rt_G17;rt_G18;rt_G19;rt_G20;rt_G21;rt_G22;rt_G23;rt_G24;rt_G25;rt_G26;rt_L01;rt_L02;rt_L03;rt_L04;rt_L05;rt_L06;rt_L07;rt_L08;rt_L09;rt_L10;rt_L11;rt_L12;rt_L13;rt_L14;rt_L15;rt_L16;rt_L17;rt_L18;rt_L19;rt_L20;rt_L21;rt_L22;rt_L23;rt_L24;rt_L25;rt_L26;rt_M01;rt_M02;rt_M03;rt_M04;rt_M05;rt_M06;rt_M07;rt_M08;rt_M09;rt_M10;rt_M11;rt_M12;rt_M13;rt_M14;rt_M15;rt_M16;rt_M17;rt_M18;rt_M19;rt_M20;rt_M21;rt_M22;rt_M23;rt_M24;rt_M25;rt_M26;Emotion.Pre;Excitement.Pre;Emotion.Post;Excitement.Post;DQgain;DQloss;DQmixed;RKgain;RKloss;RKmixed;medianTimeGain;medianTimeLoss;medianTimeMixed;M.alpha;M.gamma_gain;M.gamma_loss;M.lambda;M.luce
28;PayAll;Younger;female;34;More than $100,000;$10,001 - $25,000;43;4,5;7;7;A;A;B;B;B;A;B;A;A;B;A;A;A;A;B;B;A;A;A;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;A;A;A;B;A;A;B;B;A;A;B;A;B;A;A;A;A;A;B;A;A;B;A;B;A;A;B;A;B;A;A;3;2;4;6;3;4;5;3;5;2;2;7;4;4;5;5;3;4;3;2;4;2;3;3;4;6;3;3;3;3;4;6;4;5;2;2;6;3;2;3;7;20;2;2;3;2;6;5;3;3;3;9;8;4;12;8;5;9;12;7;6;10;8;5;8;12;9;4;7;10;9;3;7;8;5;8;7;9;9;3;8;4;,72;,8;,64;,44;,32;,48;4;3;8;,961125166680241;,441315571396574;,706592263656439;1,10331365783035;,137714877217585
29;PayAll;Older;female;61;$20,001 - $40,000;$250,001 - $500,000;21;8;2;2;B;B;B;A;B;B;A;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;B;B;A;B;A;A;A;A;A;B;A;B;B;A;B;B;B;B;A;A;B;B;A;A;B;A;A;A;A;A;B;B;A;B;B;A;A;A;A;B;B;B;B;A;A;15;22;18;18;15;19;34;16;22;19;18;21;21;19;41;32;17;24;29;13;59;14;24;22;26;16;43;70;25;36;71;24;24;23;67;24;74;63;18;48;73;30;22;28;48;31;20;27;33;29;69;142;45;19;17;53;26;31;27;18;19;41;58;18;41;25;13;13;45;26;18;29;21;20;12;36;22;29;7;5;7;5;,76;,76;,72;,4;,52;,56;20;32;25,5;,960569064245758;,687309901704822;,917892857409776;,779402351645303;,172718232408471
30;PayOne;Older;male;71;More than $100,000;More than $500'000;25;8;8;6,5;A;B;A;A;A;B;B;A;A;B;A;A;B;B;B;B;A;B;B;A;B;B;A;A;A;B;A;A;B;B;A;B;A;A;A;B;A;A;A;B;A;A;B;A;A;B;B;B;B;B;B;A;A;B;B;B;A;B;B;B;B;B;A;A;A;A;B;A;B;A;B;A;B;A;A;A;A;A;9;14;9;7;17;25;12;7;11;25;134;11;14;11;5;17;9;10;13;8;19;6;11;11;14;20;12;12;12;17;47;10;17;12;7;13;13;13;11;11;13;11;19;9;3;8;10;9;9;11;94;15;14;10;32;12;7;16;15;15;11;26;15;6;16;24;13;12;12;71;13;19;13;11;12;13;9;11;5;5;3;3;,72;,64;,68;,52;,64;,44;11;12;13;,837643506862766;,6557341635122;,821906909430912;1,3136340233845;,157774371303132
31;PayAll;Older;male;71;More than $100,000;$250,001 - $500,000;34;5,5;5,5;7;B;A;B;A;B;B;A;A;B;B;A;B;A;B;A;A;A;A;B;A;B;B;B;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B;A;A;B;B;A;B;B;B;A;B;B;B;B;B;A;B;B;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;B;4;16;4;3;7;3;6;3;3;6;7;15;2;4;2;6;6;7;5;2;2;4;4;13;2;7;10;13;24;11;4;14;7;14;6;10;4;12;16;10;13;7;18;11;5;25;3;10;18;10;3;12;6;5;5;10;8;18;6;5;7;8;11;13;10;5;9;8;9;5;7;6;3;9;8;20;5;6;7;3;7;3;,68;,6;,68;,4;,52;,6;4;10,5;7,5;,908993796843093;,70915140421865;,803647103826699;,976570045794249;,0982700633160015
32;PayOne;Older;male;60;$40,001 - $60,000;$50,001 - $100,000;24;4,5;5,5;6,5;A;A;B;A;B;B;A;A;A;B;A;A;A;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;B;A;B;B;A;B;A;B;A;A;A;B;B;A;A;A;B;B;A;B;A;A;B;A;B;B;B;B;A;B;B;B;B;A;B;A;A;A;A;B;A;B;B;A;B;B;B;B;A;A;12;6;7;9;6;7;28;7;8;8;11;25;14;8;8;10;6;10;7;7;12;6;9;11;18;8;5;13;19;12;13;9;8;8;11;6;14;12;7;9;6;10;7;6;6;11;6;9;7;5;6;8;11;12;9;11;10;10;8;7;18;9;13;15;18;8;23;33;11;9;19;8;6;8;7;7;14;13;7;5;8;7;,76;,84;,68;,24;,36;,44;8;8;10,5;,838338651774736;,606213323064293;,823621082427694;1,41403039268751;,292331358489483
33;PayOne;Older;female;71;$0 - $20,000;$0 - $5,000;19;8;4;4;B;B;B;B;B;B;B;A;B;B;B;B;A;B;B;B;A;A;A;A;B;B;A;B;B;A;B;B;B;A;A;B;A;A;B;A;A;A;B;A;A;A;A;B;B;A;B;A;B;A;B;A;A;B;B;B;A;B;A;A;A;B;B;B;A;A;B;B;B;A;B;A;A;B;B;B;A;A;6;8;5;16;8;7;5;8;11;7;13;9;11;8;12;8;296;9;8;6;6;8;8;9;9;10;19;6;7;9;11;6;15;17;20;18;8;8;12;9;11;10;14;12;4;16;5;12;6;14;5;21;11;10;7;13;15;10;4;8;14;6;12;14;16;17;6;11;10;11;13;11;7;7;9;13;12;11;9;7;6;3;,64;,52;,6;,6;,44;,6;8;11;11;,837671885821544;,718916003588491;,823476172667981;1,11275635545223;,095677650863058
34;PayAll;Older;male;63;$0 - $20,000;$0 - $5,000;29;7;2,5;5;A;A;B;A;B;B;A;A;A;B;A;A;B;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;A;B;A;A;A;B;A;A;A;A;A;B;A;B;A;A;B;A;B;B;B;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;A;A;14;13;14;11;11;9;17;10;12;14;12;10;14;13;19;9;12;11;8;12;14;10;9;16;9;11;13;16;12;15;15;13;14;31;24;21;28;12;12;12;13;12;12;15;25;15;11;11;17;15;11;14;20;15;12;18;18;13;15;16;15;11;16;11;12;11;15;18;17;15;17;12;17;12;13;12;13;12;7;3;8;4;,8;,88;,68;,28;,48;,52;12;14;15;,968583234378504;,531889773648803;,811622646174054;1,04082195896314;,203524240214141
35;PayAll;Older;female;76;$0 - $20,000;$0 - $5,000;26;6,5;1;4;B;A;B;A;A;B;B;A;B;B;A;A;A;B;B;A;A;A;B;A;B;B;A;B;A;A;A;A;B;A;A;B;A;B;A;B;A;B;A;B;A;A;B;A;B;B;A;B;A;A;B;B;B;A;B;A;A;A;B;B;B;B;B;A;A;A;A;A;B;A;B;A;A;B;B;B;B;A;16;34;29;14;18;15;8;10;21;12;11;22;17;33;20;22;8;8;11;9;15;21;15;10;8;14;7;11;16;20;11;12;9;13;21;24;5;12;14;19;19;20;11;19;19;14;10;22;12;16;20;30;5;6;9;10;37;32;12;15;19;10;10;24;29;20;21;16;7;15;7;7;21;24;18;29;20;25;3;3;5;5;,72;,76;,56;,52;,44;,4;15;15;17;,929183142587866;,810166415726652;,813454901385251;1,1439970930632;,10587837098906
36;PayOne;Younger;female;35;$60,001 - $100,000;$10,001 - $25,000;21;6,5;2;2;B;A;B;A;B;B;A;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;A;B;B;B;A;A;A;A;A;A;A;A;B;A;B;B;B;B;A;A;B;B;B;A;B;A;A;B;A;B;A;A;A;A;A;B;A;A;B;B;B;B;B;A;A;5;10;8;11;8;9;19;5;5;13;18;5;12;10;12;6;5;4;54;4;4;3;5;5;5;6;18;10;4;5;6;8;7;6;6;24;19;4;10;8;16;10;7;7;9;8;10;6;6;20;7;6;18;8;10;6;7;13;5;5;13;13;8;11;7;8;19;4;14;11;7;6;6;6;9;7;8;7;5;3;5;5;,8;,8;,68;,44;,56;,6;6;7,5;8;,836690630259358;,761087397025691;,837538518701112;1,14567422720976;,230065903514601
37;PayOne;Younger;male;19;More than $100,000;$0 - $5,000;62;7;6;3;A;B;B;A;B;B;B;B;A;B;A;A;A;B;A;A;A;A;B;B;B;B;A;A;B;A;A;A;B;A;A;A;A;B;A;A;B;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;B;B;B;B;A;B;B;B;A;A;A;A;A;A;A;B;A;A;A;A;B;A;B;B;A;A;4;5;3;4;4;3;3;4;3;3;3;4;4;3;7;3;3;2;4;5;4;3;6;5;2;4;3;5;3;4;5;3;6;3;4;5;4;3;4;4;6;4;2;3;4;4;6;5;5;3;3;5;4;6;5;4;8;4;3;4;3;4;4;3;3;4;5;5;6;3;4;4;4;5;6;9;3;4;7;5;8;9;,76;,8;,72;,4;,4;,4;4;4;4;,836002197636988;,685799380009;,836979048283421;1,10456390628684;,202292974423452
38;PayOne;Older;male;68;$20,001 - $40,000;$250,001 - $500,000;26;8;6;1,5;B;A;B;A;B;B;A;A;A;B;A;B;A;B;A;B;A;A;B;A;B;B;A;B;B;A;A;A;B;A;A;B;A;A;B;A;A;A;B;A;A;B;B;B;B;B;A;A;B;A;B;A;A;B;B;A;A;B;B;A;A;B;A;A;B;A;B;A;A;A;A;A;B;B;B;B;A;A;5;3;19;5;11;9;8;5;6;9;5;12;36;4;4;10;6;4;2;5;17;12;20;6;7;4;9;8;3;2;2;9;16;3;2;9;12;3;4;8;3;3;3;6;3;13;6;15;11;3;5;9;16;7;14;54;14;15;17;21;43;17;17;27;19;17;13;21;32;11;24;19;11;15;18;23;32;11;8;5;9;8;,68;,6;,8;,4;,52;,56;6;5,5;17;,838109075528437;,714114523085375;,823193035760175;,984846121492893;,174586550896215
39;PayOne;Younger;female;33;$40,001 - $60,000;$0 - $5,000;17;8;3;8;A;B;B;B;B;A;B;A;A;B;A;B;B;B;B;B;A;A;B;A;A;B;A;A;A;A;A;A;A;B;B;B;A;B;A;B;B;A;A;A;A;A;A;A;B;A;A;B;B;B;B;A;A;B;B;A;A;B;A;B;A;B;A;B;A;A;B;A;A;A;A;A;B;B;B;B;A;A;3;11;2;4;8;5;5;4;9;2;3;3;11;6;3;7;3;4;2;3;3;9;4;4;4;8;4;2;7;5;6;2;3;2;5;7;5;5;4;4;5;5;2;2;3;4;2;5;5;4;3;7;14;9;7;8;4;9;7;7;5;8;5;5;7;11;14;7;5;4;10;7;8;5;4;6;5;11;6;4;7;3;,76;,84;,72;,48;,52;,64;4;4;7;,836627361193568;,62223513149473;,836975165648037;,955301162345396;,25278238268406
40;PayOne;Older;female;62;$0 - $20,000;$0 - $5,000;33;8;1;1;B;A;B;B;A;A;B;A;A;B;B;B;A;B;A;A;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;A;B;B;B;A;A;A;A;A;B;A;B;B;A;B;B;A;B;A;A;B;B;B;A;B;A;A;B;A;A;B;A;A;B;A;A;A;A;A;B;B;B;B;B;A;5;6;6;6;5;8;6;4;6;6;7;6;12;7;9;4;7;4;7;6;7;5;6;5;5;6;10;12;8;10;4;15;6;7;7;9;12;5;8;6;11;9;9;8;10;9;10;6;10;11;5;7;6;9;5;10;6;11;7;7;7;7;6;9;5;6;7;9;7;8;3;7;7;9;5;5;5;10;8;2;8;2;,68;,84;,76;,56;,52;,76;6;9;7;,838216834869306;,755997339262638;,826233143356411;,91547348379305;,174366940764929
41;PayAll;Younger;male;26;$20,001 - $40,000;$10,001 - $25,000;54;6,5;3,5;7;A;A;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;B;A;B;B;A;B;B;B;B;A;B;B;B;A;A;A;A;A;A;B;A;A;A;B;A;B;B;B;B;A;A;9;5;5;4;3;5;11;4;5;5;8;5;6;4;5;4;3;5;4;3;3;3;4;4;5;5;4;5;10;5;7;5;3;3;5;14;3;5;4;8;7;5;5;5;4;6;5;14;6;9;11;7;16;5;7;8;7;10;11;10;6;6;15;12;7;10;9;6;6;8;8;8;3;4;6;4;13;8;6;5;6;6;,92;,88;,8;,4;,48;,48;5;5;8;,97927306967803;,710142588304201;,719013979840541;1,10034801149019;,286133790675222
42;PayAll;Younger;male;28;$40,001 - $60,000;$100,001 - $250,000;38;8;8;7;A;B;B;B;A;B;B;A;A;B;A;B;A;B;B;A;A;A;A;A;B;A;A;B;A;A;B;A;A;B;B;A;B;B;B;B;B;A;A;B;A;B;B;A;B;A;A;B;A;A;A;B;A;B;B;A;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;B;B;A;B;B;B;A;2;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;1;2;1;2;2;2;6;2;1;3;1;2;3;9;3;2;2;15;11;2;2;2;2;2;2;2;4;3;2;2;1;2;1;2;2;2;2;2;2;2;1;1;2;3;2;1;1;1;3;2;2;2;2;7;3;9;7;,68;,52;,48;,56;,44;,56;2;2;2;,489262179112007;,741984576202346;,831225228525129;1,05399781710759;,128981989618987
43;PayOne;Younger;female;19;More than $100,000;$0 - $5,000;61;8;5;4,5;A;B;B;A;B;B;A;B;A;A;A;A;A;B;A;B;A;A;A;A;B;A;A;A;A;A;A;A;B;A;A;B;A;A;B;B;A;A;A;B;B;A;A;A;B;B;A;A;B;A;B;A;B;B;B;B;A;A;B;B;B;B;B;B;B;A;A;A;A;B;B;A;A;A;A;A;B;A;5;6;4;6;9;6;5;5;6;6;9;7;7;6;3;169;7;7;6;4;5;7;5;9;3;9;5;5;4;6;7;5;7;5;12;8;6;11;4;3;4;5;9;3;6;5;5;6;5;4;3;7;6;8;6;8;5;9;4;6;6;6;3;5;5;4;11;12;6;4;4;5;7;4;6;4;5;5;4;3;6;5;,56;,72;,52;,2;,32;,44;6;5;5,5;,835034270853472;,62997863964761;,837105152584414;1,12697622993583;,116919532813572
44;PayOne;Younger;female;25;$0 - $20,000;$0 - $5,000;35;7,5;5;5;A;A;B;A;B;B;A;A;A;B;B;A;A;A;A;B;A;A;B;A;A;A;A;A;A;A;A;B;A;A;A;B;A;B;A;A;B;A;A;A;B;A;A;A;B;B;A;B;B;A;B;A;B;B;B;B;A;B;B;B;A;A;A;A;B;A;B;A;A;B;A;A;B;A;A;B;A;B;9;6;7;9;8;6;5;5;5;6;7;5;8;12;11;6;12;7;9;5;13;8;5;7;6;7;5;9;7;8;4;12;7;10;10;10;6;18;8;10;5;7;7;6;5;7;12;6;9;8;7;8;7;8;4;11;11;12;7;12;14;7;9;11;6;19;12;4;17;7;8;10;6;10;12;6;6;10;5;1;3;1;,6;,8;,76;,16;,4;,44;7;7,5;9,5;,836001082531915;,584771552424626;,83702769636852;1,20843871563229;,206716019457466
45;PayAll;Older;female;73;$20,001 - $40,000;$10,001 - $25,000;24;8;5;7,5;B;B;A;B;A;A;A;B;B;B;A;A;A;B;A;A;A;B;A;A;A;A;A;B;B;A;A;B;B;B;A;B;B;B;A;A;A;B;A;B;B;B;B;A;B;A;B;A;A;B;A;B;B;B;A;B;A;B;B;B;B;B;A;A;B;A;A;A;B;B;B;B;B;B;B;B;A;A;4;5;7;4;7;8;5;5;8;7;30;5;16;6;3;5;7;5;7;5;14;2;8;9;41;6;2;3;2;2;5;2;2;7;5;7;7;4;4;2;20;5;4;2;4;7;11;6;3;3;5;4;6;2;6;5;1;5;7;2;6;17;3;6;1;9;7;14;3;13;10;1;4;10;8;6;3;7;7;6;5;5;,4;,32;,64;,6;,48;,48;6,5;4;6;,588391518402644;,739301713052206;,736829099375294;1,37587544601501;,0963986688362774
46;PayAll;Younger;male;27;$40,001 - $60,000;I do not want to answer;43;8;3;3;A;A;B;A;B;B;B;A;A;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;B;A;A;B;A;B;B;B;B;A;B;B;B;B;B;B;A;A;A;B;B;A;A;B;A;A;B;B;B;A;A;10;11;8;13;7;7;12;6;17;23;9;24;22;10;11;6;8;6;9;6;15;8;13;14;18;12;17;8;35;37;12;20;12;39;20;14;27;17;14;16;48;29;14;9;15;11;15;51;31;26;23;27;21;22;11;11;8;18;9;19;17;15;16;10;12;17;28;18;20;34;34;11;35;18;17;27;14;19;5;2;7;5;,92;,92;,76;,48;,44;,52;10,5;18,5;17,5;,963820512957335;,825395819966111;,876166345682239;1,11368926400791;,22202871171886
47;PayAll;Younger;female;24;$40,001 - $60,000;I do not want to answer;47;7,5;3,5;5;A;A;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;B;A;B;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;A;A;B;B;B;A;A;B;A;B;A;A;A;A;A;A;B;B;B;A;A;B;B;B;B;A;A;8;4;5;7;7;4;7;3;4;5;5;4;6;5;6;6;5;5;5;5;6;4;4;5;7;8;6;4;8;5;5;8;11;8;8;6;6;5;5;6;12;8;5;5;8;8;7;6;5;6;8;6;9;8;6;14;7;12;7;6;14;6;14;6;9;10;24;15;9;11;9;8;9;14;9;7;7;6;5;2;5;3;,88;,84;,68;,44;,44;,52;5;6;9;,96758006713583;,832405706232956;,887586810479891;1,15045517631273;,167317810786961
48;PayOne;Younger;male;29;$20,001 - $40,000;$50,001 - $100,000;35;8;4;4,5;B;A;B;A;B;B;B;A;A;B;B;A;B;B;A;B;A;A;B;A;B;B;A;B;B;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;B;A;A;A;A;B;A;B;B;B;B;A;A;B;B;B;A;B;B;A;B;B;B;B;B;A;A;B;A;A;A;B;B;B;B;B;A;A;3;7;3;9;14;5;5;5;6;6;12;9;10;3;7;3;4;3;4;8;3;15;16;3;3;7;5;3;4;3;4;4;4;10;5;5;5;3;11;5;4;6;4;4;16;13;5;10;4;13;7;4;5;6;8;4;14;7;10;5;4;5;6;4;30;16;10;5;7;5;3;5;4;3;3;5;4;3;8;7;9;9;,76;,88;,68;,4;,56;,6;5,5;5;5;,836311632170315;,776881624677364;,837467137836163;1,02354845748751;,251705130105979
49;PayOne;Older;female;68;$20,001 - $40,000;$100,001 - $250,000;35;8;2;6,5;B;B;B;A;B;B;B;A;A;B;A;A;A;A;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;B;A;B;A;B;B;A;A;B;A;A;A;A;B;B;A;B;A;B;B;A;B;B;B;A;A;B;B;B;A;A;A;A;B;A;B;A;B;A;A;A;B;B;B;B;A;A;8;8;11;13;8;6;11;6;6;9;10;6;8;10;9;7;8;5;9;6;8;8;13;9;7;11;5;11;5;6;9;10;8;5;5;7;6;3;5;6;8;5;10;5;5;5;6;11;5;8;7;4;7;14;7;9;13;12;10;8;7;11;5;8;8;12;6;12;11;10;10;5;7;11;7;8;7;7;9;6;9;6;,6;,72;,8;,4;,32;,4;8;6;8;,83831393917256;,578849552246924;,818718658806728;1,20996281028535;,213993650540372
50;PayAll;Younger;female;21;$0 - $20,000;$0 - $5,000;40;8;1;1;B;A;B;A;B;B;A;A;A;B;A;B;A;B;A;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;A;A;B;B;A;A;A;B;A;B;B;B;B;A;B;A;B;B;A;B;B;B;B;A;B;B;B;B;A;B;A;A;A;B;A;A;A;A;A;B;A;B;B;A;A;6;3;4;5;5;4;4;3;5;4;4;3;5;4;5;4;4;3;4;3;3;3;5;6;3;3;5;4;5;3;6;6;6;7;3;34;5;4;4;6;5;3;5;6;9;9;4;11;5;10;3;7;10;10;6;6;6;23;8;9;12;15;9;12;8;6;7;9;8;11;8;6;12;7;7;11;14;11;5;1;5;3;,76;,72;,8;,4;,48;,48;4;5;9;,95292562028537;,792912562172056;,890595174582835;1,19083105633359;,143297397247816
51;PayAll;Younger;female;20;$20,001 - $40,000;$0 - $5,000;41;7,5;4,5;7;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;B;A;A;A;B;A;B;A;B;A;A;A;A;B;A;A;A;B;B;A;A;B;A;B;A;A;B;B;B;B;B;A;B;B;A;A;B;A;A;B;A;A;A;A;B;B;B;B;B;A;A;5;14;161;6;7;6;9;3;6;27;6;6;4;8;8;5;6;4;6;5;4;5;8;8;4;3;5;3;10;4;5;9;7;7;7;7;7;6;10;4;5;3;7;6;8;8;7;6;9;12;8;6;5;9;5;6;5;6;4;9;10;5;7;6;5;17;9;5;8;6;3;6;52;4;4;5;3;4;7;5;8;6;,8;,84;,76;,44;,36;,76;6;7;5,5;,94889080324213;,765040850597928;,841144832347704;,944047619977157;,118417199641246
52;PayAll;Older;male;73;$60,001 - $100,000;$250,001 - $500,000;31;6,5;3;3;B;B;B;A;A;B;B;A;B;B;A;B;B;B;B;A;A;B;B;A;A;B;A;A;B;B;A;B;B;B;A;B;A;B;B;B;B;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;B;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;A;B;A;A;B;A;B;B;A;2;4;3;4;3;3;2;6;2;2;4;3;3;3;2;5;3;3;3;2;3;2;3;5;3;2;4;2;3;2;5;2;3;6;2;3;4;4;4;2;3;2;2;2;3;5;6;4;3;3;2;3;4;3;2;3;5;4;3;4;3;4;3;5;3;7;2;4;3;2;3;6;3;2;3;3;2;5;7;1;7;3;,68;,44;,56;,64;,36;,56;3;3;3;,729783752488986;,76140745017759;,781406086926552;1,04968791382125;,0874875551172591
53;PayOne;Older;male;68;$60,001 - $100,000;$50,001 - $100,000;23;7,5;4,5;6;A;A;B;B;B;A;B;B;A;B;A;B;B;A;B;B;A;A;B;A;B;B;A;A;A;B;A;B;B;A;A;B;A;B;A;A;A;A;A;A;A;B;B;A;B;B;A;A;A;A;A;A;A;B;B;A;A;A;B;A;A;B;A;B;A;B;B;B;A;A;B;A;A;B;B;B;A;A;6;10;9;6;19;12;7;9;12;13;6;6;8;17;40;9;17;7;16;11;14;6;8;8;15;12;12;11;18;8;10;14;5;14;8;7;5;8;6;17;9;20;17;6;5;9;16;6;19;11;8;14;23;7;9;10;14;14;19;8;25;56;8;10;15;12;13;10;21;18;17;9;16;9;17;9;9;20;3;5;7;3;,76;,64;,6;,48;,48;,6;9,5;9,5;13,5;,838064357365494;,634169576316159;,816859473909148;,878335129584954;,180848299085383
54;PayAll;Older;male;73;$60,001 - $100,000;$100,001 - $250,000;25;8;6,5;6;B;A;B;A;B;B;A;A;A;B;A;A;A;B;A;B;A;A;B;A;B;A;A;A;A;A;A;A;A;A;B;B;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;B;B;A;B;A;A;B;A;A;A;B;B;A;A;B;A;B;B;B;B;B;A;A;A;A;A;B;A;B;B;A;12;12;8;13;12;9;12;9;12;11;12;12;10;8;11;10;10;12;10;10;6;13;15;16;10;12;13;13;12;7;12;14;14;12;11;19;8;12;12;7;7;24;13;14;9;8;14;16;10;26;8;16;11;12;9;18;10;14;10;11;14;11;11;12;24;15;10;12;13;17;22;13;9;10;11;10;12;10;7;5;8;6;,68;,84;,6;,24;,6;,6;11,5;12;11,5;,908885755585072;,557467134004291;,952400155052273;,718458089902826;,148603337778785
55;PayOne;Older;female;70;$0 - $20,000;I do not want to answer;24;7;3;7;B;B;B;B;B;A;B;B;A;B;B;B;B;B;B;B;A;A;A;A;A;B;A;A;B;A;A;B;B;A;B;B;A;B;A;B;A;A;A;A;B;A;B;A;B;B;B;A;A;B;A;A;B;B;B;A;A;B;B;B;A;A;A;A;A;A;B;A;B;A;A;A;B;B;B;B;A;B;14;38;61;31;34;13;37;47;23;20;38;34;14;16;21;16;17;36;53;40;33;19;23;35;13;24;37;32;14;20;19;37;21;45;21;38;57;25;16;53;29;22;23;29;22;22;21;37;17;17;17;37;56;60;29;60;28;48;28;27;40;22;36;28;34;43;44;37;42;28;44;23;21;29;33;30;17;23;9;1;9;5;,64;,64;,76;,52;,48;,44;27,5;22,5;31,5;,838126938501141;,670341500435982;,814715375550532;1,16460475566079;,150347176774717
56;PayOne;Younger;male;27;More than $100,000;$100,001 - $250,000;24;7,5;7,5;7;B;B;B;A;B;B;B;A;A;B;B;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;A;B;A;B;B;B;A;B;A;A;A;A;B;B;A;B;B;B;A;B;A;A;A;B;B;A;A;B;B;B;B;B;A;B;A;A;A;B;A;A;A;A;B;A;B;A;A;5;4;3;7;4;3;3;3;3;3;3;3;2;3;3;3;4;3;5;5;3;3;2;6;3;2;3;3;3;3;4;3;3;3;2;2;3;6;2;9;4;3;3;3;5;4;4;3;4;3;2;2;8;8;6;6;5;7;5;10;7;6;5;7;12;7;9;11;5;4;7;6;3;4;5;9;6;8;7;2;7;2;,8;,64;,72;,44;,4;,4;3;3;6,5;,835888397723334;,761639042341425;,837338870466919;1,21747720904413;,136721342478236
57;PayOne;Older;female;71;$40,001 - $60,000;$100,001 - $250,000;22;8;8;8;B;B;B;A;B;A;B;A;A;B;A;B;A;A;A;A;B;A;B;A;A;B;A;B;B;B;B;A;A;A;B;B;A;B;B;B;A;A;A;A;A;B;A;B;B;B;B;B;B;A;B;A;B;A;B;B;B;B;B;B;A;B;B;B;A;A;B;A;B;A;B;A;A;A;B;B;B;A;9;13;9;5;10;12;5;6;5;6;14;9;5;4;6;13;3;3;3;7;8;6;8;6;11;9;8;10;5;9;13;8;11;10;11;6;16;9;7;8;10;13;19;22;13;10;5;9;16;16;9;5;2;7;8;5;3;4;8;3;3;3;4;3;10;4;4;5;6;6;5;5;8;3;9;6;3;5;7;5;7;7;,56;,8;,52;,6;,56;,52;6,5;10;5;,837716627534917;,717828800924609;,823532257647893;1,09958083369508;,0941725707544905
