pref,pub_id,study_id,study_label,study_es_id,es_id,first_author,year_of_publication,title_of_article,paper_section,task_name,task_type,domain,incentivization,dv_units,dv_description,sample_code,total_n,young_total_n,old_total_n,n_incl_es,prop_female,young_prop_female,old_prop_female,age_min,mean_age,age_max,young_age_min,young_mean_age,young_age_max,old_age_min,old_mean_age,old_age_max,dec_diff,dv_young_mean,dv_young_sd,dv_old_mean,dv_old_sd,dv_correlation,cor_yi,cor_vi,cor_type,study_design,reversed_es,source_of_outcome,author_extract
time,37,50,Sparrow Study 2 (2018),1,61,Sparrow,2018,Sparrow2018,Study 2,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,NA,31,23,54,NA,NA,NA,NA,NA,NA,18,20.84,30,65,71.35,97,5.050999999999999,NA,NA,NA,NA,NA,-0.03945599438692585,0.01915546474992692,RPB,extreme_group,NA,NA,Seaman
time,33,45,SamanezLarkin  (2011),1,62,SamanezLarkin,2011,SamanezLarkin 2011,Single,NA,description,NA,incentivized,proportion,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,NA,12,13,25,NA,NA,NA,NA,NA,NA,19,22,26,63,73.4,85,5.140000000000001,NA,NA,NA,NA,NA,0.04166666666666667,0.045454545454545456,RPB,extreme_group,NA,NA,Seaman
time,21,31,Jimura  (2011),1,63,Jimura,2011,Jimura 2011,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: weeks/months/years. Condition: NA,Sample 1,NA,20,20,40,NA,NA,NA,NA,NA,NA,NA,20,NA,60,71,84,5.1000000000000005,NA,NA,NA,NA,NA,0.32795403958390196,0.02702702702702703,RPB,extreme_group,NA,NA,Seaman
time,15,27,Green  (1994),1,64,Green,1994,Green 1994,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months/years. Condition: NA,Sample 1,NA,12,12,24,NA,NA,NA,NA,NA,NA,NA,20.3,NA,NA,67.9,NA,4.760000000000001,NA,NA,NA,NA,NA,-0.7189773358687578,0.047619047619047616,RPB,extreme_group,NA,NA,Seaman
time,23,33,Kirby  (2002),1,65,Kirby,2002,Kirby 2002,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,154,NA,NA,154,NA,NA,NA,10,27.4,80,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0.3,0.005412418300653595,COR,continuous,NA,NA,Seaman
time,34,46,SanchezRoige  (2018),1,66,SanchezRoige,2018,SanchezRoige 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,23664,NA,NA,23664,NA,NA,NA,18,53.79,101,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,0.001,4.225998394121624e-5,COR,continuous,NA,NA,Seaman
time,35,47,Seaman  (2018),1,67,Seaman,2018,Seaman 2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,89,NA,NA,89,NA,NA,NA,22,49.71,83,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,0.12,0.01103872,COR,continuous,NA,NA,Seaman
time,45,52,Tschernegg  (2015),1,68,Tschernegg,2015,Tschernegg 2015,Single,NA,description,NA,hypothetical,proportion,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,70,NA,NA,70,NA,NA,NA,19,25.2192857142857,44,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,-0.097,0.014221312018565217,COR,continuous,NA,NA,Seaman
time,38,51,Stoeckel  (2013),1,69,Stoeckel,2013,Stoeckel 2013,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,19,NA,NA,19,NA,NA,NA,19,33.4,49,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-0.585,0.024037108368055556,COR,continuous,NA,NA,Seaman
time,14,26,Gollner  (2018),1,70,Gollner,2018,Gollner 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,96,NA,NA,96,NA,NA,NA,9,46.4831683168317,101,NA,NA,NA,NA,NA,NA,9.200000000000001,NA,NA,NA,NA,NA,0.134,0.010151688609852631,COR,continuous,NA,NA,Seaman
time,5,19,Bickel  (2014),1,71,Bickel,2014,Bickel 2014,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,1163,NA,NA,1163,NA,NA,NA,18,31.64,82,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,-0.0466,8.568516313879808e-4,COR,continuous,NA,NA,Seaman
time,6,20,Boyle  (2012),1,72,Boyle,2012,Boyle 2012,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,388,NA,NA,388,NA,NA,NA,60,83.1,98.8,NA,NA,NA,NA,NA,NA,3.88,NA,NA,NA,NA,NA,-0.035,0.0025776524563953488,COR,continuous,NA,NA,Seaman
time,36,48,Sheffer  (2016),1,73,Sheffer,2016,Sheffer 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,1122,NA,NA,1122,NA,NA,NA,18,34,77,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,0.05,8.876059322033899e-4,COR,continuous,NA,NA,Seaman
time,22,32,Johnson  (2015),1,74,Johnson,2015,Johnson 2015,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: hours. Condition: $1,Sample 1,197,NA,NA,197,NA,NA,NA,NA,35.5662857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21,0.004661963316326531,COR,continuous,NA,NA,Seaman
time,22,32,Johnson  (2015),2,75,Johnson,2015,Johnson 2015,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: hours. Condition: $2,Sample 1,197,NA,NA,197,NA,NA,NA,NA,35.5662857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,0.00453121306122449,COR,continuous,NA,NA,Seaman
time,31,43,Reimers  (2009),1,76,Reimers,2009,Reimers 2009,Single,NA,description,NA,hypothetical,proportion,Magnitude.of.Time.Delay: months. Condition: NA,Sample 1,42863,NA,NA,42863,NA,NA,NA,21,NA,65,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,-0.05,2.3214181559423266e-5,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),1,77,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..1000.,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,0.021,0.005314458481281915,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),2,78,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: X6.months..1000.,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,-0.016,0.005316425880510638,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),3,79,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: X1.year.1000,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,0.015,0.00531675558843085,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),4,80,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: mean..1000.,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,-0.124,0.005156832028595746,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),5,81,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..100.,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,0.021,0.005314458481281915,COR,continuous,NA,NA,Seaman
time,28,38,Mahalingam Sample 3 (2018),6,82,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: year. Condition: real.reward,Sample 3,189,NA,NA,189,NA,NA,NA,18,36.16,72,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,-0.051,0.0052915147085159575,COR,continuous,NA,NA,Seaman
time,28,39,Mahalingam Sample 4 (2018),1,83,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..1000.,Sample 4,208,NA,NA,208,NA,NA,NA,18,38.01,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.019,0.00482743058126087,COR,continuous,NA,NA,Seaman
time,28,39,Mahalingam Sample 4 (2018),2,84,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X6.months..1000.,Sample 4,208,NA,NA,208,NA,NA,NA,18,38.01,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.069,0.004785027377396135,COR,continuous,NA,NA,Seaman
time,28,39,Mahalingam Sample 4 (2018),3,85,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.year.1000,Sample 4,208,NA,NA,208,NA,NA,NA,18,38.01,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.089,0.004754689576043479,COR,continuous,NA,NA,Seaman
time,28,39,Mahalingam Sample 4 (2018),4,86,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: mean..1000.,Sample 4,208,NA,NA,208,NA,NA,NA,18,38.01,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.093,0.0047477140347874395,COR,continuous,NA,NA,Seaman
time,28,39,Mahalingam Sample 4 (2018),5,87,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..100.,Sample 4,208,NA,NA,208,NA,NA,NA,18,38.01,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.242,0.004281650928,COR,continuous,NA,NA,Seaman
time,28,40,Mahalingam Sample 5 (2018),1,88,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..1000.,Sample 5,151,NA,NA,151,NA,NA,NA,18,27.81,79,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,0.003,0.006666546667206666,COR,continuous,NA,NA,Seaman
time,28,40,Mahalingam Sample 5 (2018),2,89,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X6.months..1000.,Sample 5,151,NA,NA,151,NA,NA,NA,18,27.81,79,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,0.047,0.00663724586454,COR,continuous,NA,NA,Seaman
time,28,40,Mahalingam Sample 5 (2018),3,90,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.year.1000,Sample 5,151,NA,NA,151,NA,NA,NA,18,27.81,79,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,-0.026,0.00665765637984,COR,continuous,NA,NA,Seaman
time,28,40,Mahalingam Sample 5 (2018),4,91,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: mean..1000.,Sample 5,151,NA,NA,151,NA,NA,NA,18,27.81,79,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,0.023,0.0066596151989400006,COR,continuous,NA,NA,Seaman
time,28,40,Mahalingam Sample 5 (2018),5,92,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..100.,Sample 5,151,NA,NA,151,NA,NA,NA,18,27.81,79,NA,NA,NA,NA,NA,NA,6.1000000000000005,NA,NA,NA,NA,NA,-0.006,0.006666186675306666,COR,continuous,NA,NA,Seaman
time,28,41,Mahalingam Sample 6 (2018),1,93,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..1000.,Sample 6,420,NA,NA,420,NA,NA,NA,18,35.79,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,-0.007,0.002386400960384248,COR,continuous,NA,NA,Seaman
time,28,41,Mahalingam Sample 6 (2018),2,94,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X6.months..1000.,Sample 6,420,NA,NA,420,NA,NA,NA,18,35.79,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.036,0.002380452695980907,COR,continuous,NA,NA,Seaman
time,28,41,Mahalingam Sample 6 (2018),3,95,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.year.1000,Sample 6,420,NA,NA,420,NA,NA,NA,18,35.79,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.083,0.002353865055658711,COR,continuous,NA,NA,Seaman
time,28,41,Mahalingam Sample 6 (2018),4,96,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: mean..1000.,Sample 6,420,NA,NA,420,NA,NA,NA,18,35.79,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,0.04,0.002379003723150358,COR,continuous,NA,NA,Seaman
time,28,41,Mahalingam Sample 6 (2018),5,97,Mahalingam,2018,Mahalingam2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: year. Condition: X1.month..100.,Sample 6,420,NA,NA,420,NA,NA,NA,18,35.79,74,NA,NA,NA,NA,NA,NA,5.6000000000000005,NA,NA,NA,NA,NA,-0.011,0.0023860573141789975,COR,continuous,NA,NA,Seaman
time,8,22,Chao  (2009),1,98,Chao,2009,Chao 2009,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,175,NA,NA,175,NA,NA,NA,15,46.52,91,NA,NA,NA,NA,NA,NA,7.6000000000000005,NA,NA,NA,NA,NA,0.0775894664085864,0.00567813788111184,COR,continuous,NA,NA,Seaman
time,24,34,Lee  (2018),1,99,Lee,2018,Lee 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,11157,NA,NA,11157,NA,NA,NA,18,26.7874787129157,91.5,NA,NA,NA,NA,NA,NA,7.3500000000000005,NA,NA,NA,NA,NA,-0.0712496735395659,8.87300770038993e-5,COR,continuous,NA,NA,Seaman
time,29,42,O'Hora  (2016),1,100,O'Hora,2016,O'Hora 2016,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,840,NA,NA,840,NA,NA,NA,15,30.9279711884754,80,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,-0.0136062460941943,0.0011914538431555906,COR,continuous,NA,NA,Seaman
time,16,28,Halfmann  (2013),1,101,Halfmann,2013,Halfmann 2013,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: weeks. Condition: NA,Sample 1,48,NA,NA,48,NA,NA,NA,24,68.1875,93,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,0.0486279277201258,0.02117609023363455,COR,continuous,NA,NA,Seaman
time,27,37,Löckenhoff  (2011),1,102,Löckenhoff,2011,Löckenhoff 2011,Single,NA,description,NA,incentivized,parameter,Magnitude.of.Time.Delay: days. Condition: NA,Sample 1,98,NA,NA,98,NA,NA,NA,19,52,91,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,-0.33,0.008186177422680413,COR,continuous,NA,NA,Seaman
time,18,30,Hampton  (2018),1,103,Hampton,2018,Hampton 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: 1 days,Sample 1,2564,NA,NA,2564,NA,NA,NA,25,41,65,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,-0.05,3.882193718298869e-4,COR,continuous,NA,NA,Seaman
time,18,30,Hampton  (2018),2,104,Hampton,2018,Hampton 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: 7 days,Sample 1,2564,NA,NA,2564,NA,NA,NA,25,41,65,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,-0.04,3.8892023410066324e-4,COR,continuous,NA,NA,Seaman
time,18,30,Hampton  (2018),3,105,Hampton,2018,Hampton 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: 30 days,Sample 1,2564,NA,NA,2564,NA,NA,NA,25,41,65,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,-0.02,3.8985570035115103e-4,COR,continuous,NA,NA,Seaman
time,18,30,Hampton  (2018),4,106,Hampton,2018,Hampton 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: 180 days,Sample 1,2564,NA,NA,2564,NA,NA,NA,25,41,65,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,-0.06,3.873636207569254e-4,COR,continuous,NA,NA,Seaman
time,18,30,Hampton  (2018),5,107,Hampton,2018,Hampton 2018,Single,NA,description,NA,hypothetical,parameter,Magnitude.of.Time.Delay: years. Condition: 365 days,Sample 1,2564,NA,NA,2564,NA,NA,NA,25,41,65,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,-0.04,3.8892023410066324e-4,COR,continuous,NA,NA,Seaman
time,47,54,Wolfe  (2017),1,108,Wolfe,2017,Wolfe 2017,Single,NA,description,NA,hypothetical,proportion,Magnitude.of.Time.Delay: years. Condition: NA,Sample 1,13198,NA,NA,13198,NA,NA,NA,15,36.9217,64,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,0.0396,7.553732962989963e-5,COR,continuous,NA,NA,Seaman
